Roll:-103.96, Pitch:  78.68, Yaw:-137.24| 
Roll:-103.37, Pitch:  78.51, Yaw:-136.07| 
Roll:-102.77, Pitch:  78.35, Yaw:-134.93| 
Roll:-102.21, Pitch:  78.19, Yaw:-133.85| 
Roll:-101.58, Pitch:  78.04, Yaw:-132.72| 
Roll:-101.06, Pitch:  77.87, Yaw:-131.73| 
Roll:-100.70, Pitch:  77.71, Yaw:-130.95| 
Roll:-100.34, Pitch:  77.55, Yaw:-130.23| 
Roll: -99.82, Pitch:  77.39, Yaw:-129.42| 
Roll: -99.27, Pitch:  77.26, Yaw:-128.70| 
Roll: -98.73, Pitch:  77.14, Yaw:-128.11| 
Roll: -98.36, Pitch:  77.05, Yaw:-127.84| 
Roll: -98.16, Pitch:  77.02, Yaw:-127.87| 
Roll: -98.07, Pitch:  77.03, Yaw:-128.11| 
Roll: -97.92, Pitch:  77.06, Yaw:-128.39| 
Roll: -97.74, Pitch:  77.13, Yaw:-128.71| 
Roll: -97.65, Pitch:  77.23, Yaw:-129.18| 
Roll: -97.70, Pitch:  77.38, Yaw:-129.85| 
Roll: -97.70, Pitch:  77.56, Yaw:-130.54| 
Roll: -97.67, Pitch:  77.76, Yaw:-131.27| 
Roll: -97.69, Pitch:  77.98, Yaw:-132.11| 
Roll: -97.82, Pitch:  78.22, Yaw:-133.08| 
Roll: -98.12, Pitch:  78.48, Yaw:-134.28| 
Roll: -98.41, Pitch:  78.72, Yaw:-135.53| 
Roll: -98.62, Pitch:  78.98, Yaw:-136.74| 
Roll: -98.97, Pitch:  79.24, Yaw:-138.11| 
Roll: -99.54, Pitch:  79.52, Yaw:-139.75| 
Roll:-100.38, Pitch:  79.82, Yaw:-141.71| 
Roll:-101.38, Pitch:  80.13, Yaw:-143.90| 
Roll:-102.45, Pitch:  80.45, Yaw:-146.21| 
Roll:-103.70, Pitch:  80.79, Yaw:-148.75| 
Roll:-105.25, Pitch:  81.13, Yaw:-151.66| 
Roll:-107.17, Pitch:  81.46, Yaw:-154.98| 
Roll:-109.49, Pitch:  81.79, Yaw:-158.74| 
Roll:-112.16, Pitch:  82.11, Yaw:-162.89| 
Roll:-115.02, Pitch:  82.40, Yaw:-167.29| 
Roll:-118.16, Pitch:  82.66, Yaw:-172.00| 
Roll:-121.86, Pitch:  82.89, Yaw:-177.32| 
Roll:-125.90, Pitch:  83.09, Yaw: 176.99| 
Roll:-130.03, Pitch:  83.25, Yaw: 171.18| 
Roll:-134.15, Pitch:  83.35, Yaw: 165.40| 
Roll:-138.35, Pitch:  83.40, Yaw: 159.53| 
Roll:-142.43, Pitch:  83.42, Yaw: 153.77| 
Roll:-146.41, Pitch:  83.41, Yaw: 148.09| 
Roll:-150.11, Pitch:  83.37, Yaw: 142.69| 
Roll:-153.43, Pitch:  83.31, Yaw: 137.68| 
Roll:-156.59, Pitch:  83.25, Yaw: 132.86| 
Roll:-159.42, Pitch:  83.20, Yaw: 128.40| 
Roll:-161.95, Pitch:  83.13, Yaw: 124.28| 
Roll:-164.17, Pitch:  83.07, Yaw: 120.51| 
Roll:-166.17, Pitch:  83.04, Yaw: 117.01| 
Roll:-168.15, Pitch:  82.98, Yaw: 113.55| 
Roll:-170.03, Pitch:  82.89, Yaw: 110.21| 
Roll:-171.82, Pitch:  82.77, Yaw: 107.00| 
Roll:-173.45, Pitch:  82.65, Yaw: 104.00| 
Roll:-174.87, Pitch:  82.51, Yaw: 101.27| 
Roll:-176.12, Pitch:  82.37, Yaw:  98.75| 
Roll:-177.30, Pitch:  82.24, Yaw:  96.33| 
Roll:-178.31, Pitch:  82.11, Yaw:  94.07| 
Roll:-179.22, Pitch:  81.95, Yaw:  91.93| 
Roll: 180.00, Pitch:  81.74, Yaw:  89.93| 
Roll: 179.28, Pitch:  81.50, Yaw:  87.99| 
Roll: 178.62, Pitch:  81.25, Yaw:  86.12| 
Roll: 178.15, Pitch:  81.00, Yaw:  84.42| 
Roll: 177.80, Pitch:  80.75, Yaw:  82.85| 
Roll: 177.45, Pitch:  80.46, Yaw:  81.27| 
Roll: 177.09, Pitch:  80.14, Yaw:  79.68| 
Roll: 176.69, Pitch:  79.82, Yaw:  78.05| 
Roll: 176.30, Pitch:  79.50, Yaw:  76.42| 
Roll: 175.96, Pitch:  79.16, Yaw:  74.83| 
Roll: 175.71, Pitch:  78.82, Yaw:  73.32| 
Roll: 175.42, Pitch:  78.50, Yaw:  71.81| 
Roll: 175.13, Pitch:  78.19, Yaw:  70.30| 
Roll: 174.91, Pitch:  77.88, Yaw:  68.91| 
Roll: 174.66, Pitch:  77.55, Yaw:  67.53| 
Roll: 174.35, Pitch:  77.21, Yaw:  66.15| 
Roll: 174.09, Pitch:  76.88, Yaw:  64.85| 
Roll: 173.96, Pitch:  76.53, Yaw:  63.71| 
Roll: 173.80, Pitch:  76.13, Yaw:  62.56| 
Roll: 173.72, Pitch:  75.70, Yaw:  61.52| 
Roll: 173.75, Pitch:  75.27, Yaw:  60.55| 
Roll: 173.82, Pitch:  74.80, Yaw:  59.61| 
Roll: 173.92, Pitch:  74.27, Yaw:  58.70| 
Roll: 174.04, Pitch:  73.71, Yaw:  57.81| 
Roll: 174.18, Pitch:  73.16, Yaw:  56.97| 
Roll: 174.30, Pitch:  72.69, Yaw:  56.16| 
Roll: 174.41, Pitch:  72.31, Yaw:  55.45| 
Roll: 174.48, Pitch:  71.96, Yaw:  54.78| 
Roll: 174.52, Pitch:  71.56, Yaw:  54.12| 
Roll: 174.53, Pitch:  71.11, Yaw:  53.46| 
Roll: 174.52, Pitch:  70.66, Yaw:  52.85| 
Roll: 174.43, Pitch:  70.26, Yaw:  52.24| 
Roll: 174.32, Pitch:  69.90, Yaw:  51.67| 
Roll: 174.23, Pitch:  69.56, Yaw:  51.14| 
Roll: 174.10, Pitch:  69.22, Yaw:  50.60| 
Roll: 173.95, Pitch:  68.87, Yaw:  50.06| 
Roll: 173.87, Pitch:  68.58, Yaw:  49.58| 
Roll: 173.83, Pitch:  68.35, Yaw:  49.13| 
Roll: 173.80, Pitch:  68.11, Yaw:  48.72| 
Roll: 173.79, Pitch:  67.89, Yaw:  48.35| 
Roll: 173.75, Pitch:  67.68, Yaw:  48.02| 
Roll: 173.69, Pitch:  67.51, Yaw:  47.70| 
Roll: 173.57, Pitch:  67.39, Yaw:  47.40| 
Roll: 173.39, Pitch:  67.30, Yaw:  47.14| 
Roll: 173.14, Pitch:  67.27, Yaw:  46.91| 
Roll: 172.75, Pitch:  67.31, Yaw:  46.66| 
Roll: 172.21, Pitch:  67.49, Yaw:  46.46| 
