Roll: 107.24, Pitch:  19.75, Yaw: 102.93| 
Roll: 107.13, Pitch:  19.72, Yaw: 102.65| 
Roll: 107.00, Pitch:  19.66, Yaw: 102.30| 
Roll: 106.86, Pitch:  19.57, Yaw: 101.90| 
Roll: 106.70, Pitch:  19.46, Yaw: 101.41| 
Roll: 106.51, Pitch:  19.33, Yaw: 100.84| 
Roll: 106.32, Pitch:  19.16, Yaw: 100.21| 
Roll: 106.12, Pitch:  18.97, Yaw:  99.54| 
Roll: 105.90, Pitch:  18.76, Yaw:  98.82| 
Roll: 105.67, Pitch:  18.54, Yaw:  98.03| 
Roll: 105.43, Pitch:  18.31, Yaw:  97.19| 
Roll: 105.16, Pitch:  18.08, Yaw:  96.28| 
Roll: 104.88, Pitch:  17.83, Yaw:  95.27| 
Roll: 104.59, Pitch:  17.57, Yaw:  94.16| 
Roll: 104.29, Pitch:  17.30, Yaw:  92.94| 
Roll: 103.98, Pitch:  17.03, Yaw:  91.62| 
Roll: 103.71, Pitch:  16.74, Yaw:  90.23| 
Roll: 103.50, Pitch:  16.44, Yaw:  88.80| 
Roll: 103.32, Pitch:  16.14, Yaw:  87.34| 
Roll: 103.07, Pitch:  15.83, Yaw:  85.87| 
Roll: 102.74, Pitch:  15.53, Yaw:  84.39| 
Roll: 102.45, Pitch:  15.26, Yaw:  82.90| 
Roll: 102.22, Pitch:  15.00, Yaw:  81.41| 
Roll: 102.04, Pitch:  14.75, Yaw:  79.92| 
Roll: 101.84, Pitch:  14.53, Yaw:  78.42| 
Roll: 101.58, Pitch:  14.34, Yaw:  76.91| 
Roll: 101.31, Pitch:  14.15, Yaw:  75.43| 
Roll: 101.08, Pitch:  13.94, Yaw:  73.94| 
Roll: 100.91, Pitch:  13.70, Yaw:  72.44| 
Roll: 100.75, Pitch:  13.42, Yaw:  70.98| 
Roll: 100.60, Pitch:  13.15, Yaw:  69.53| 
Roll: 100.51, Pitch:  12.88, Yaw:  68.10| 
Roll: 100.51, Pitch:  12.60, Yaw:  66.73| 
Roll: 100.52, Pitch:  12.34, Yaw:  65.40| 
Roll: 100.53, Pitch:  12.08, Yaw:  64.10| 
Roll: 100.51, Pitch:  11.84, Yaw:  62.83| 
Roll: 100.52, Pitch:  11.62, Yaw:  61.57| 
Roll: 100.60, Pitch:  11.38, Yaw:  60.32| 
Roll: 100.70, Pitch:  11.14, Yaw:  59.12| 
Roll: 100.84, Pitch:  10.88, Yaw:  57.92| 
Roll: 101.02, Pitch:  10.61, Yaw:  56.72| 
Roll: 101.16, Pitch:  10.34, Yaw:  55.50| 
Roll: 101.32, Pitch:  10.08, Yaw:  54.30| 
Roll: 101.55, Pitch:   9.80, Yaw:  53.13| 
Roll: 101.80, Pitch:   9.52, Yaw:  51.97| 
Roll: 101.98, Pitch:   9.27, Yaw:  50.81| 
Roll: 102.16, Pitch:   9.03, Yaw:  49.68| 
Roll: 102.34, Pitch:   8.79, Yaw:  48.59| 
Roll: 102.54, Pitch:   8.56, Yaw:  47.53| 
Roll: 102.72, Pitch:   8.36, Yaw:  46.46| 
Roll: 102.91, Pitch:   8.18, Yaw:  45.40| 
Roll: 103.13, Pitch:   7.99, Yaw:  44.37| 
Roll: 103.37, Pitch:   7.80, Yaw:  43.36| 
Roll: 103.57, Pitch:   7.62, Yaw:  42.33| 
Roll: 103.76, Pitch:   7.44, Yaw:  41.29| 
Roll: 104.03, Pitch:   7.25, Yaw:  40.25| 
Roll: 104.34, Pitch:   7.04, Yaw:  39.22| 
Roll: 104.64, Pitch:   6.85, Yaw:  38.17| 
Roll: 104.99, Pitch:   6.66, Yaw:  37.11| 
Roll: 105.37, Pitch:   6.46, Yaw:  36.05| 
Roll: 105.72, Pitch:   6.25, Yaw:  35.02| 
Roll: 106.05, Pitch:   6.05, Yaw:  33.99| 
Roll: 106.41, Pitch:   5.87, Yaw:  32.97| 
Roll: 106.79, Pitch:   5.68, Yaw:  31.99| 
Roll: 107.11, Pitch:   5.49, Yaw:  31.06| 
Roll: 107.40, Pitch:   5.33, Yaw:  30.14| 
Roll: 107.70, Pitch:   5.18, Yaw:  29.23| 
Roll: 108.05, Pitch:   5.02, Yaw:  28.34| 
Roll: 108.38, Pitch:   4.87, Yaw:  27.50| 
Roll: 108.66, Pitch:   4.74, Yaw:  26.67| 
Roll: 108.90, Pitch:   4.62, Yaw:  25.87| 
Roll: 109.16, Pitch:   4.49, Yaw:  25.11| 
Roll: 109.41, Pitch:   4.37, Yaw:  24.33| 
Roll: 109.65, Pitch:   4.25, Yaw:  23.55| 
Roll: 109.93, Pitch:   4.13, Yaw:  22.80| 
Roll: 110.23, Pitch:   3.99, Yaw:  22.08| 
Roll: 110.52, Pitch:   3.85, Yaw:  21.35| 
Roll: 110.81, Pitch:   3.71, Yaw:  20.63| 
Roll: 111.09, Pitch:   3.58, Yaw:  19.91| 
Roll: 111.30, Pitch:   3.47, Yaw:  19.20| 
Roll: 111.52, Pitch:   3.38, Yaw:  18.50| 
Roll: 111.80, Pitch:   3.31, Yaw:  17.80| 
Roll: 112.10, Pitch:   3.25, Yaw:  17.13| 
Roll: 112.33, Pitch:   3.21, Yaw:  16.44| 
Roll: 112.53, Pitch:   3.19, Yaw:  15.75| 
Roll: 112.71, Pitch:   3.18, Yaw:  15.08| 
Roll: 112.93, Pitch:   3.18, Yaw:  14.42| 
Roll: 113.23, Pitch:   3.14, Yaw:  13.79| 
Roll: 113.58, Pitch:   3.07, Yaw:  13.18| 
Roll: 113.88, Pitch:   2.99, Yaw:  12.56| 
Roll: 114.16, Pitch:   2.93, Yaw:  11.91| 
Roll: 114.48, Pitch:   2.86, Yaw:  11.27| 
Roll: 114.78, Pitch:   2.81, Yaw:  10.65| 
Roll: 115.05, Pitch:   2.78, Yaw:  10.03| 
Roll: 115.30, Pitch:   2.76, Yaw:   9.43| 
Roll: 115.56, Pitch:   2.73, Yaw:   8.85| 
Roll: 115.75, Pitch:   2.70, Yaw:   8.29| 
Roll: 115.90, Pitch:   2.68, Yaw:   7.75| 
Roll: 116.06, Pitch:   2.67, Yaw:   7.22| 
